GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
REST-API_06_07,app.controllers,ProdutoController,88,3,14,0,10,1,11,1,4,1
REST-API_06_07,app.controllers,BasketController,81,3,6,0,16,1,7,1,4,1
REST-API_06_07,app.controllers,UserController,41,16,5,1,4,3,5,2,2,2
REST-API_06_07,app.controllers,OrderingController,97,3,6,0,20,1,7,1,4,1
REST-API_06_07,app.controllers,SellerProductController,40,3,4,0,4,1,4,1,2,1
REST-API_06_07,app.controllers,LoginController,105,3,8,0,21,1,6,1,2,1
REST-API_06_07,app,Application,5,494,0,0,2,50,1,2,1,2
REST-API_06_07,app.requestBody,SellerProductBody,13,0,0,0,6,0,3,0,3,0
REST-API_06_07,app.requestBody,OrderBody,63,0,0,0,26,0,13,0,13,0
REST-API_06_07,app.requestBody,LoginBody,23,0,0,0,10,0,5,0,5,0
REST-API_06_07,app.requestBody,BasketBody,23,0,0,0,10,0,5,0,5,0
REST-API_06_07,app.requestBody,UserBody,93,0,0,0,38,0,19,0,19,0
REST-API_06_07,app.util,Type,9,29,0,0,0,2,2,2,2,2
REST-API_06_07,app.model,DeliveryStatus,5,33,0,0,0,3,1,3,1,3
REST-API_06_07,app.model,Seller_ProductPk,14,12,0,0,6,6,4,2,4,2
REST-API_06_07,app.model,Seller,7,25,0,0,3,5,2,2,2,2
REST-API_06_07,app.model,Seller_Product,50,38,0,0,21,14,12,5,12,5
REST-API_06_07,app.model,Ordering,46,24,0,0,20,10,13,3,13,3
REST-API_06_07,app.model,DateSet,23,25,0,0,9,8,7,2,7,2
REST-API_06_07,app.model,User,223,65,25,1,59,24,25,12,12,12
REST-API_06_07,app.model,Client,4,28,0,0,2,6,1,3,1,3
REST-API_06_07,app.model,Product,28,32,0,0,12,11,8,4,8,4
REST-API_06_07,app.model,Basket,25,15,0,0,11,7,7,3,7,3
REST-API_06_07,app.services,SellerProductService,13,3,0,0,3,1,2,1,2,1
REST-API_06_07,app.services,LoginService,65,3,14,0,15,1,11,1,4,1
REST-API_06_07,app.services,OrderingService,93,3,16,0,19,1,14,1,6,1
REST-API_06_07,app.services,BasketService,92,3,12,0,19,1,12,1,6,1
REST-API_06_07,app.services,UserService,10,7,0,0,2,2,2,2,2,2
REST-API_06_07,app.services,ProdutoService,37,3,2,0,8,1,6,1,5,1
